"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashiningyocho","Ningyocho",3,160000000,50,3300000,"Semi-rectangular Shaped",4.5,"","","","","Other","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashiningyocho","Ningyocho",3,910000000,210,"","Irregular Shaped",8,960,"1989","SRC","Office","Other","Northeast",8,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashibakurocho","Bakurocho",1,600000000,65,"","Semi-rectangular Shaped",7,420,"1992","S","Office","Office","North",36,"Tokyo Metropolitan Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihakozakicho","Suitengumae",2,520000000,140,"","Semi-rectangular Shaped",8,580,"1974","RC","Office, Parking Lot","House","Northeast",9,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihakozakicho","Suitengumae",3,300000000,140,"","Semi-rectangular Shaped",14.5,530,"1978","S","Office, Warehouse","Office","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihakozakicho","Suitengumae",4,370000000,105,"","Irregular Shaped",14.5,105,"1953","","","Other","Northeast",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihamacho","Suitengumae",6,250000000,100,"","Semi-square Shaped",10.3,155,"1999","W","House, Shop","House","North",11,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihamacho","Hamacho",3,750000000,125,"","Irregular Shaped",7,750,"2012","S","Housing Complex, Office, Shop","House","Southeast",27,"Tokyo Metropolitan Road","Commerical",80,700,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihamacho","Hamacho",2,110000000,35,"","Rectangular Shaped",3.6,115,"2003","S","Housing Complex, Shop","House","Southwest",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashihamacho","Higashi Nihombashi",3,220000000,55,"","Semi-rectangular Shaped",5.5,270,"1988","RC","House, Office","Office","Northwest",11,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashimuromachi","Shin Nihombashi",2,330000000,90,"","Semi-rectangular Shaped",11,290,"1978","S","House, Shop","Shop","South",2.4,"Private Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashiyokoyamacho","Higashi Nihombashi",2,240000000,90,"","Semi-square Shaped",9.1,380,"1986","RC","Housing Complex, Office, Shop","Shop","Southeast",8.2,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Hatchobori","Takaracho",3,370000000,65,"","Semi-rectangular Shaped",7.6,125,"1964","W","House, Factory","Office","South",3,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Hatchobori","Hatchobori(Tokyo)",2,1000000000,150,"","Semi-rectangular Shaped",15.7,170,"1963","RC","Office","Office","Northwest",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Hatchobori","Hatchobori(Tokyo)",1,1200000000,220,"","Rectangular Shaped",24,890,"1985","S","House, Office, Shop","Other","Southeast",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Higashinihombashi","Bakurocho",3,5500000000,680,"","Semi-shaped",28,"2,000 ‡u or greater.","2010","RC","Office, Parking Lot","Office","South",8,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Higashinihombashi","Bakuroyokoyama",1,400000000,90,"","Rectangular Shaped",7.5,510,"1985","S","Office","Office","Southwest",22,"Ward Road","Commerical",80,600,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Minato","Shintomicho(Tokyo)",6,98000000,40,"","Rectangular Shaped",3.8,"","","","","House","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Minato","Shintomicho(Tokyo)",3,170000000,90,"","Rectangular Shaped",9.6,350,"1975","RC","Housing Complex, Office","House","Northwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Nishiazabu","Nogizaka",10,70000000,40,"","","",50,"1983","W","","","Southwest",2.1,"Private Road","1 Res",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Takanawa","Takanawa Gateway",10,180000000,65,"","","",135,"1996","W","","","North",4,"Private Road","1 Exc Med",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Minamiaoyama","Nogizaka",5,450000000,140,"","","",175,"2009","W","","","East",4,"Private Road","2 Exc Med",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Minamiaoyama","Omote Sando",10,270000000,110,"","","",125,"2003","RC","","","Southeast",4,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Shirokane","Shirokane Takanawa",10,120000000,55,"","","",65,"2017","W","","","North","","Private Road","Quasi-Ind",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Takanawa","Shirokane Takanawa",10,120000000,55,"","","",85,"1994","W","","","","","","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Minamiazabu","Shirokane Takanawa",10,190000000,55,"","","",120,"1986","RC","","","South",3.5,"Public Road","Quasi-Ind",60,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Minamiazabu","Azabu Juban",10,200000000,55,"","","",95,"2007","S","","","Northeast",3,"Public Road","Quasi-Ind","","","2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Shirokane","Hiro o",15,280000000,80,"","","",135,"2009","W","","","East",4.1,"Public Road","Quasi-Ind",60,246,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Shirokane","Shirokane Takanawa",5,160000000,50,"","","",90,"1997","RC","","","West",4,"Public Road","Quasi-Ind",60,240,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Takanawa","Shirokane Takanawa",10,250000000,80,"","","",160,"2018","W","","","Northwest",4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Mita","Azabu Juban",5,280000000,100,"","","",145,"1999","W","","","Northeast",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Mita","Azabu Juban",5,150000000,60,"","","",90,"1999","W","","","North",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Mita","Azabu Juban",5,140000000,65,"","","",90,"1999","W","","","Northeast",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Mita","Azabu Juban",10,190000000,55,"","","",80,"2021","W","","","North",4,"Public Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Mita","Azabu Juban",5,140000000,60,"","","",90,"1999","W","","","North",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Mita","Mita(Tokyo)",15,260000000,70,"","","",145,"2004","RC","","","","","","1 Exc Med",60,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Nishiazabu","Roppongi",10,150000000,75,"","","",95,"1997","W","","","","","","2 Exc Med",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Nishiazabu","Omote Sando",10,100000000,55,"","","",80,"2000","W","","","Northwest",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13103","Tokyo","Minato Ward","Nishiazabu","Nogizaka",10,530000000,170,"","","",290,"1982","S","","","Southeast",4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13103","Tokyo","Minato Ward","Akasaka","Akasaka(Tokyo)",4,690000000,125,5500000,"Rectangular Shaped",8.7,"","","","","Other","South",8.2,"Ward Road","2 Res",60,400,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13103","Tokyo","Minato Ward","Akasaka","Akasaka(Tokyo)",5,410000000,100,4100000,"Semi-rectangular Shaped",8.1,"","","","","House","Southeast",4.2,"Ward Road","2 Res",60,400,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Akasaka","Akasaka(Tokyo)",3,850000000,80,11000000,"Semi-rectangular Shaped",5.5,"","","","","House","North",4,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Azabujuban","Azabu Juban",1,660000000,75,"","Semi-rectangular Shaped",6.5,330,"1967","RC","Office, Shop","Other","South",9.8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13103","Tokyo","Minato Ward","Azabujuban","Azabu Juban",1,1500000000,120,"","Rectangular Shaped",7,600,"2011","S","Housing Complex, Office, Shop","Other","South",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Azabujuban","Azabu Juban",1,610000000,65,"","Rectangular Shaped",6.3,250,"2017","RC","Housing Complex, Shop","Shop","West",7.8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13103","Tokyo","Minato Ward","Azabudai","Azabu Juban",9,1400000000,400,"","Semi-rectangular Shaped",15,530,"1989","RC","Housing Complex","Other","Southeast",3.4,"Private Road","2 Exc Med",60,300,"4th quarter 2024","Dealings including private road"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Kitaaoyama","Omote Sando",2,1400000000,160,8700000,"Rectangular Shaped",11.1,"","","","","Office","Southwest",4.2,"Private Road","2 Res",60,300,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Kitaaoyama","Omote Sando",2,260000000,50,"","Rectangular Shaped",3.6,75,"1989","S","Office","Shop","Southwest",3.8,"Ward Road","2 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Kitaaoyama","Omote Sando",1,730000000,65,"","Rectangular Shaped",4.4,100,"2017","RC","Shop","Shop","Southeast",4.5,"Private Road","1 Res",60,300,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Kitaaoyama","Gaiemmae",4,550000000,90,"","Semi-rectangular Shaped",8.9,260,"1967","RC","Office, Workshop, Parking Lot","Shop","Northwest",6,"Private Road","Commerical",80,600,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Kitaaoyama","Gaiemmae",2,700000000,100,"","Rectangular Shaped",5.3,140,"2024","S","Shop","Shop","Southwest",5.4,"Ward Road","1 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Shiba","Akabanebashi",4,720000000,200,"","Semi-rectangular Shaped",7.4,570,"1972","RC","House, Office","House","South",6.3,"Ward Road","Neighborhood Comm",80,400,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Shiba","Shibakoen",4,1900000000,175,"","Irregular Shaped",9.2,1100,"2023","RC","Housing Complex","House","South",18.9,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Shiba","Shibakoen",4,400000000,195,"","Irregular Shaped","",530,"1988","RC","House, Office","Office","South",6,"Ward Road","Neighborhood Comm",80,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Shiba","Tamachi(Tokyo)",8,750000000,155,"","Semi-rectangular Shaped",5.3,600,"1976","S","House, Office, Shop","Shop","Northwest",33,"National Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13103","Tokyo","Minato Ward","Shiba","Tamachi(Tokyo)",7,370000000,145,2600000,"Rectangular Shaped",9.3,"","","","","House","Northwest",4,"Ward Road","Commerical",80,700,"4th quarter 2024","Dealings including private road"
