"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Hatchobori","Hatchobori(Tokyo)","1",1.2e+09,"220",NA,"Rectangular Shaped","24","890","1985","S","House, Office, Shop","Other","Southeast",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Higashinihombashi","Bakurocho","3",5.5e+09,"680",NA,"Semi-shaped","28","2,000 ㎡ or greater.","2010","RC","Office, Parking Lot","Office","South",8,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Higashinihombashi","Bakuroyokoyama","1",4e+08,"90",NA,"Rectangular Shaped","7.5","510","1985","S","Office","Office","Southwest",22,"Ward Road","Commerical",80,600,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Minato","Shintomicho(Tokyo)","6",9.8e+07,"40",NA,"Rectangular Shaped","3.8","","","","","House","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Minato","Shintomicho(Tokyo)","3",1.7e+08,"90",NA,"Rectangular Shaped","9.6","350","1975","RC","Housing Complex, Office","House","Northwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Nishiazabu","Nogizaka","10",7e+07,"40",NA,"","","50","1983","W","","","Southwest",2.1,"Private Road","1 Res",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Takanawa","Takanawa Gateway","10",1.8e+08,"65",NA,"","","135","1996","W","","","North",4,"Private Road","1 Exc Med",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Minamiaoyama","Nogizaka","5",4.5e+08,"140",NA,"","","175","2009","W","","","East",4,"Private Road","2 Exc Med",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Minamiaoyama","Omote Sando","10",2.7e+08,"110",NA,"","","125","2003","RC","","","Southeast",4,"Private Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","10",1.2e+08,"55",NA,"","","65","2017","W","","","North",NA,"Private Road","Quasi-Ind",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Takanawa","Shirokane Takanawa","10",1.2e+08,"55",NA,"","","85","1994","W","","","",NA,"","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Minamiazabu","Shirokane Takanawa","10",1.9e+08,"55",NA,"","","120","1986","RC","","","South",3.5,"Public Road","Quasi-Ind",60,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Minamiazabu","Azabu Juban","10",2e+08,"55",NA,"","","95","2007","S","","","Northeast",3,"Public Road","Quasi-Ind",NA,NA,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Shirokane","Hiro o","15",2.8e+08,"80",NA,"","","135","2009","W","","","East",4.1,"Public Road","Quasi-Ind",60,246,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","5",1.6e+08,"50",NA,"","","90","1997","RC","","","West",4,"Public Road","Quasi-Ind",60,240,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Takanawa","Shirokane Takanawa","10",2.5e+08,"80",NA,"","","160","2018","W","","","Northwest",4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Mita","Azabu Juban","5",2.8e+08,"100",NA,"","","145","1999","W","","","Northeast",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Mita","Azabu Juban","5",1.5e+08,"60",NA,"","","90","1999","W","","","North",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Mita","Azabu Juban","5",1.4e+08,"65",NA,"","","90","1999","W","","","Northeast",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Mita","Azabu Juban","10",1.9e+08,"55",NA,"","","80","2021","W","","","North",4,"Public Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Mita","Azabu Juban","5",1.4e+08,"60",NA,"","","90","1999","W","","","North",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Mita","Mita(Tokyo)","15",2.6e+08,"70",NA,"","","145","2004","RC","","","",NA,"","1 Exc Med",60,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Nishiazabu","Roppongi","10",1.5e+08,"75",NA,"","","95","1997","W","","","",NA,"","2 Exc Med",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Nishiazabu","Omote Sando","10",1e+08,"55",NA,"","","80","2000","W","","","Northwest",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13103,"Tokyo","Minato Ward","Nishiazabu","Nogizaka","10",5.3e+08,"170",NA,"","","290","1982","S","","","Southeast",4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Azabujuban","Azabu Juban","1",6.6e+08,"75",NA,"Semi-rectangular Shaped","6.5","330","1967","RC","Office, Shop","Other","South",9.8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Azabujuban","Azabu Juban","1",1.5e+09,"120",NA,"Rectangular Shaped","7","600","2011","S","Housing Complex, Office, Shop","Other","South",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Azabujuban","Azabu Juban","1",6.1e+08,"65",NA,"Rectangular Shaped","6.3","250","2017","RC","Housing Complex, Shop","Shop","West",7.8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Azabudai","Azabu Juban","9",1.4e+09,"400",NA,"Semi-rectangular Shaped","15","530","1989","RC","Housing Complex","Other","Southeast",3.4,"Private Road","2 Exc Med",60,300,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Kitaaoyama","Omote Sando","2",2.6e+08,"50",NA,"Rectangular Shaped","3.6","75","1989","S","Office","Shop","Southwest",3.8,"Ward Road","2 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Kitaaoyama","Omote Sando","1",7.3e+08,"65",NA,"Rectangular Shaped","4.4","100","2017","RC","Shop","Shop","Southeast",4.5,"Private Road","1 Res",60,300,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Kitaaoyama","Gaiemmae","4",5.5e+08,"90",NA,"Semi-rectangular Shaped","8.9","260","1967","RC","Office, Workshop, Parking Lot","Shop","Northwest",6,"Private Road","Commerical",80,600,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Kitaaoyama","Gaiemmae","2",7e+08,"100",NA,"Rectangular Shaped","5.3","140","2024","S","Shop","Shop","Southwest",5.4,"Ward Road","1 Res",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Akabanebashi","4",7.2e+08,"200",NA,"Semi-rectangular Shaped","7.4","570","1972","RC","House, Office","House","South",6.3,"Ward Road","Neighborhood Comm",80,400,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Shibakoen","4",1.9e+09,"175",NA,"Irregular Shaped","9.2","1100","2023","RC","Housing Complex","House","South",18.9,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Shibakoen","4",4e+08,"195",NA,"Irregular Shaped","","530","1988","RC","House, Office","Office","South",6,"Ward Road","Neighborhood Comm",80,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Tamachi(Tokyo)","8",7.5e+08,"155",NA,"Semi-rectangular Shaped","5.3","600","1976","S","House, Office, Shop","Shop","Northwest",33,"National Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Mita(Tokyo)","3",2.1e+08,"50",NA,"Semi-rectangular Shaped","3.3","110","1969","S","House, Shop","Shop","South",3.7,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Mita(Tokyo)","4",1.1e+09,"270",NA,"Rectangular Shaped","20","1100","1963","RC","Office","Office","South",4.4,"Ward Road","Commerical",80,500,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Mita(Tokyo)","3",5.3e+08,"70",NA,"Semi-square Shaped","8.5","175","2017","S","Shop","Shop","West",4,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Mita(Tokyo)","5",2.6e+08,"50",NA,"Rectangular Shaped","5.2","150","1992","S","House, Shop","House","East",5.1,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shiba","Mita(Tokyo)","3",3e+08,"40",NA,"Semi-rectangular Shaped","4.1","95","1996","S","House, Shop","Shop","North",3.6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shibakoen","Daimon(Tokyo)","2",5.5e+08,"90",NA,"Rectangular Shaped","13","150","2018","S","Shop","Shop","East",15,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shibadaimon","Daimon(Tokyo)","3",2.1e+08,"110",NA,"Irregular Shaped","7","250","1984","S","House, Office, Shop","House","North",11,"Ward Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","9",7e+07,"50",NA,"Trapezoidal Shaped","7.7","60","1982","W","Housing Complex","House","West",1.7,"Private Road","Quasi-Ind",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","10",7.6e+07,"125",NA,"Irregular Shaped","","140","1963","W","Housing Complex","House","South",5.2,"Ward Road","Quasi-Ind",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","9",2.7e+08,"100",NA,"Rectangular Shaped","6.9","220","2015","S","Housing Complex","House","East",8.3,"Ward Road","Neighborhood Comm",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","12",9.4e+08,"200",NA,"Rectangular Shaped","16.2","500","2024","SRC","Housing Complex","Other","South",3.8,"Private Road","Quasi-Ind",60,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokane","Shirokane Takanawa","7",2.8e+08,"60",NA,"Semi-rectangular Shaped","6.2","185","2020","RC","Housing Complex, Shop","House","South",3.4,"Ward Road","Neighborhood Comm",80,400,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokanedai","Shirokanedai","1",6.5e+07,"45",NA,"Semi-rectangular Shaped","4","60","1963","W","House","House","Southwest",4.5,"Ward Road","1 Exc Med",60,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokanedai","Shirokanedai","11",2.9e+08,"210",NA,"Semi-rectangular Shaped","12.3","270","2006","LS","House","House","Southeast",2.8,"Ward Road","Quasi-Ind",60,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Shirokanedai","Takanawadai","4",2.8e+08,"120",NA,"Rectangular Shaped","8.9","135","1971","W","House","Other","North",4.8,"Ward Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shimbashi","Onarimon","6",4.3e+08,"80",NA,"Rectangular Shaped","4.5","195","2021","S","Housing Complex, Shop","House","Southeast",8,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shimbashi","Shimbashi","2",4.6e+08,"40",NA,"Rectangular Shaped","3.3","145","2025","S","Shop","","Northwest",17.8,"Ward Road","Commerical",80,700,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shimbashi","Shimbashi","2",4.7e+08,"45",NA,"Rectangular Shaped","9","35","1998","LS","Shop","Shop","Southwest",10.8,"Ward Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shimbashi","Shimbashi","2",9.8e+08,"90",NA,"Irregular Shaped","6","350","1986","RC","House, Office, Shop","Shop","Northeast",11,"Ward Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13103,"Tokyo","Minato Ward","Shimbashi","Shimbashi","3",2.5e+08,"40",NA,"Rectangular Shaped","4.2","100","1987","S","House, Shop","Shop","Northwest",10.9,"Ward Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13103,"Tokyo","Minato Ward","Takanawa","Shinagawa","9",1.1e+09,"480",NA,"Semi-shaped","16.7","","","","","","Northeast",3.4,"Ward Road","1 Exc Med",60,300,"1st quarter 2025","Dealings in which auction or arbiter participates"
